review_id,sentence_id,Time,sentence_type,sentence
233,249,2013-04-28 00:00:00,s,"""""Great place to work"""""
233,250,2013-04-28 00:00:00,p,"""Good perks and benefits for employees"""
232,252,2013-05-04 00:00:00,s,"""""Awesome so far!"""""
232,253,2013-05-04 00:00:00,p,"""The quality of people you get to work with, exposure to cutting-edge technology and the perks of being a Googler"""
229,255,2013-05-10 00:00:00,s,"""""Technical Operations Specialist for Ad Review Operatioins"""""
229,256,2013-05-10 00:00:00,p,"""Work is extremely fast paced with flexibility to implement ones own solutions to problems. Resources are limited but could be worked around with the management."""
229,257,2013-05-10 00:00:00,c,"""No organized approach to problems. No standardization in writing code. There is nothing as writing code as a team. Too much dependability on person for a tool. No collaboration among team members."""
230,259,2013-05-20 00:00:00,s,"""""Far better than any other company i know."""""
230,260,2013-05-20 00:00:00,p,"""The atmosphere is striking and you don't feel like its a ""corporate"" office. End of the day you will not feel tired after the day's work."""
230,261,2013-05-20 00:00:00,c,"""High competition and takes alot of time for you to get recognized."""
231,263,2013-05-24 00:00:00,s,"""""Great Employer"""""
231,264,2013-05-24 00:00:00,p,"""Great Work Culture exists in Google"""
228,266,2013-05-26 00:00:00,s,"""""Awesome Place to Work"""""
228,267,2013-05-26 00:00:00,p,"""Great people Good food Flexible work No pressure"""
228,268,2013-05-26 00:00:00,c,"""Nothing as of now as I haven't completed atleast a year"""
227,270,2013-07-01 00:00:00,s,"""""Great company to work with"""""
227,271,2013-07-01 00:00:00,p,"""-great culture - employees are given importance - freedom to pursue what you want - no calling people sirs /maams. You can call Larry Larry !"""
226,273,2013-07-25 00:00:00,s,"""""Nice leaning with Fun there."""""
226,274,2013-07-25 00:00:00,p,"""High Learning Curve. Latest Technologies. Free Snacks. Free Lunch talented Colleagues."""
224,276,2013-07-29 00:00:00,s,"""""I've just one word: ""Amazing""!"""""
224,277,2013-07-29 00:00:00,p,"""it's very flexible in terms of work timings, and mostly transparent."""
225,279,2013-07-29 00:00:00,s,"""""The best place i have Worked"""""
225,280,2013-07-29 00:00:00,p,"""Great Place to Work,Best Employee Friendly"""
223,282,2013-08-21 00:00:00,s,"""""Everyday at work is something I look forward to."""""
223,283,2013-08-21 00:00:00,p,"""openness, ability to work on your projects, peer driven, working with people better than yourself"""
223,284,2013-08-21 00:00:00,c,"""No attention given to emerging markets"""
221,286,2013-08-28 00:00:00,s,"""""Cool"""""
221,287,2013-08-28 00:00:00,p,"""It is one of the most companies, which work for the development of open-source organisation."""
221,288,2013-08-28 00:00:00,c,"""It should give much better facilities to developer, and give full access to its upcoming technology."""
220,290,2013-08-29 00:00:00,s,"""""Awesome"""""
220,291,2013-08-29 00:00:00,p,"""Friendly Work Culture World's largest internet and advertising platform. Approachable management Opportunity to learn and grow exponentially. Exposure to diverse teams"""
220,292,2013-08-29 00:00:00,c,"""Very difficult hiring process No accountability in various teams No quality reviews in the pilot teams"""
222,294,2013-08-31 00:00:00,s,"""""I had very good and friendly environment at the campus.Apart from this i also learnt many new things working there."""""
222,295,2013-08-31 00:00:00,p,"""The best reasons i can say working with company are its got the most friendly environment and we all learn many things in the work culture implemented there.I can also say the doors are always open for growth opportunities within the organisation."""
